EmployeeID,LastName,FirstName,Date,TimeIn,TimeOut
10001,Garcia,Manuel III,2024-06-03,08:59,18:31
10002,Lim,Antonio,2024-06-03,10:35,19:44
10003,Aquino,Bianca Sofia,2024-06-03,10:23,18:32
10004,Reyes,Isabella,2024-06-03,10:57,18:14
10005,Hernandez,Eduard,2024-06-03,09:48,17:13
10006,Villanueva,Andrea Mae,2024-06-03,09:31,19:29
10007,San Jose,Brad,2024-06-03,09:09,16:30
10008,Romualdez,Alice,2024-06-03,09:02,18:06
10009,Atienza,Rosie,2024-06-03,08:18,17:40
10010,Alvaro,Roderick,2024-06-03,08:10,15:13
10011,Salcedo,Anthony,2024-06-03,09:08,19:36
10012,Lopez,Josie,2024-06-03,09:47,18:43
10013,Farala,Martha,2024-06-03,09:48,19:21
10014,Martinez,Leila,2024-06-03,09:23,18:09
10015,Romualdez,Fredrick,2024-06-03,08:41,19:27
10016,Mata,Christian,2024-06-03,08:41,16:45
10017,De Leon,Selena,2024-06-03,09:40,17:24
10018,San Jose,Allison,2024-06-03,08:22,16:46
10019,Rosario,Cydney,2024-06-03,09:53,17:24
10020,Bautista,Mark,2024-06-03,08:47,16:27
10021,Lazaro,Darlene,2024-06-03,09:37,18:45
10022,Delos Santos,Kolby,2024-06-03,10:54,20:10
10023,Santos,Vella,2024-06-03,10:27,20:10
10024,Del Rosario,Tomas,2024-06-03,09:16,17:57
10025,Tolentino,Jacklyn,2024-06-03,10:18,18:07
10026,Gutierrez,Percival,2024-06-03,08:17,18:31
10027,Manalaysay,Garfield,2024-06-03,09:05,19:14
10028,Villegas,Lizeth,2024-06-03,08:52,17:23
10029,Ramos,Carol,2024-06-03,10:57,21:44
10030,Maceda,Emelia,2024-06-03,09:04,16:39
10031,Aguilar,Delia,2024-06-03,10:07,20:51
10032,Castro,John Rafael,2024-06-03,08:29,16:46
10033,Martinez,Carlos Ian,2024-06-03,10:02,19:39
10034,Santos,Beatriz,2024-06-03,10:05,18:12
10001,Garcia,Manuel III,2024-06-04,09:47,19:07
10002,Lim,Antonio,2024-06-04,10:11,20:16
10003,Aquino,Bianca Sofia,2024-06-04,10:45,20:37
10004,Reyes,Isabella,2024-06-04,09:45,16:54
10005,Hernandez,Eduard,2024-06-04,09:50,20:20
10006,Villanueva,Andrea Mae,2024-06-04,10:00,20:12
10007,San Jose,Brad,2024-06-04,09:16,16:18
10008,Romualdez,Alice,2024-06-04,09:36,18:56
10009,Atienza,Rosie,2024-06-04,10:41,19:21
10010,Alvaro,Roderick,2024-06-04,08:05,18:36
10011,Salcedo,Anthony,2024-06-04,09:58,17:04
10012,Lopez,Josie,2024-06-04,08:41,16:55
10013,Farala,Martha,2024-06-04,08:13,17:58
10014,Martinez,Leila,2024-06-04,09:11,17:10
10015,Romualdez,Fredrick,2024-06-04,10:35,18:43
10016,Mata,Christian,2024-06-04,10:15,18:12
10017,De Leon,Selena,2024-06-04,09:04,17:32
10018,San Jose,Allison,2024-06-04,10:40,21:01
10019,Rosario,Cydney,2024-06-04,08:05,18:10
10020,Bautista,Mark,2024-06-04,09:05,18:27
10021,Lazaro,Darlene,2024-06-04,08:59,19:50
10022,Delos Santos,Kolby,2024-06-04,10:58,18:51
10023,Santos,Vella,2024-06-04,10:06,20:32
10024,Del Rosario,Tomas,2024-06-04,08:35,18:14
10025,Tolentino,Jacklyn,2024-06-04,08:01,15:39
10026,Gutierrez,Percival,2024-06-04,08:25,16:41
10027,Manalaysay,Garfield,2024-06-04,10:47,20:39
10028,Villegas,Lizeth,2024-06-04,10:05,19:33
10029,Ramos,Carol,2024-06-04,10:38,20:56
10030,Maceda,Emelia,2024-06-04,08:20,16:30
10031,Aguilar,Delia,2024-06-04,10:13,17:52
10032,Castro,John Rafael,2024-06-04,08:48,16:36
10033,Martinez,Carlos Ian,2024-06-04,10:10,18:54
10034,Santos,Beatriz,2024-06-04,09:35,19:15
10001,Garcia,Manuel III,2024-06-05,10:57,21:32
10002,Lim,Antonio,2024-06-05,09:24,19:19
10003,Aquino,Bianca Sofia,2024-06-05,09:18,18:46
10004,Reyes,Isabella,2024-06-05,08:44,18:31
10005,Hernandez,Eduard,2024-06-05,09:10,17:17
10006,Villanueva,Andrea Mae,2024-06-05,08:28,16:52
10007,San Jose,Brad,2024-06-05,09:25,17:45
10008,Romualdez,Alice,2024-06-05,10:44,18:51
10009,Atienza,Rosie,2024-06-05,10:46,17:54
10010,Alvaro,Roderick,2024-06-05,09:48,19:19
10011,Salcedo,Anthony,2024-06-05,10:50,20:28
10012,Lopez,Josie,2024-06-05,08:52,19:40
10013,Farala,Martha,2024-06-05,08:49,16:12
10014,Martinez,Leila,2024-06-05,08:50,18:10
10015,Romualdez,Fredrick,2024-06-05,08:06,17:06
10016,Mata,Christian,2024-06-05,09:29,19:25
10017,De Leon,Selena,2024-06-05,08:08,17:06
10018,San Jose,Allison,2024-06-05,09:09,19:20
10019,Rosario,Cydney,2024-06-05,09:14,19:40
10020,Bautista,Mark,2024-06-05,10:42,21:00
10021,Lazaro,Darlene,2024-06-05,10:18,18:05
10022,Delos Santos,Kolby,2024-06-05,10:55,21:26
10023,Santos,Vella,2024-06-05,10:01,20:19
10024,Del Rosario,Tomas,2024-06-05,09:19,19:00
10025,Tolentino,Jacklyn,2024-06-05,10:50,18:44
10026,Gutierrez,Percival,2024-06-05,10:11,19:17
10027,Manalaysay,Garfield,2024-06-05,08:57,17:35
10028,Villegas,Lizeth,2024-06-05,10:14,19:01
10029,Ramos,Carol,2024-06-05,08:02,15:06
10030,Maceda,Emelia,2024-06-05,09:24,17:30
10031,Aguilar,Delia,2024-06-05,09:24,18:09
10032,Castro,John Rafael,2024-06-05,10:33,19:11
10033,Martinez,Carlos Ian,2024-06-05,09:59,18:34
10034,Santos,Beatriz,2024-06-05,10:38,18:12
10001,Garcia,Manuel III,2024-06-06,09:32,19:15
10002,Lim,Antonio,2024-06-06,10:47,20:43
10003,Aquino,Bianca Sofia,2024-06-06,10:10,18:01
10004,Reyes,Isabella,2024-06-06,10:09,18:01
10005,Hernandez,Eduard,2024-06-06,10:47,19:28
10006,Villanueva,Andrea Mae,2024-06-06,10:11,17:27
10007,San Jose,Brad,2024-06-06,09:51,19:58
10008,Romualdez,Alice,2024-06-06,09:21,16:49
10009,Atienza,Rosie,2024-06-06,08:47,17:44
10010,Alvaro,Roderick,2024-06-06,10:51,19:37
10011,Salcedo,Anthony,2024-06-06,10:31,20:05
10012,Lopez,Josie,2024-06-06,08:55,15:56
10013,Farala,Martha,2024-06-06,10:55,21:18
10014,Martinez,Leila,2024-06-06,09:08,17:30
10015,Romualdez,Fredrick,2024-06-06,08:12,18:22
10016,Mata,Christian,2024-06-06,09:11,18:56
10017,De Leon,Selena,2024-06-06,10:10,19:33
10018,San Jose,Allison,2024-06-06,08:25,15:51
10019,Rosario,Cydney,2024-06-06,09:08,17:46
10020,Bautista,Mark,2024-06-06,08:39,17:39
10021,Lazaro,Darlene,2024-06-06,08:03,16:44
10022,Delos Santos,Kolby,2024-06-06,08:09,18:21
10023,Santos,Vella,2024-06-06,10:55,19:53
10024,Del Rosario,Tomas,2024-06-06,10:00,19:11
10025,Tolentino,Jacklyn,2024-06-06,10:05,17:32
10026,Gutierrez,Percival,2024-06-06,08:13,15:42
10027,Manalaysay,Garfield,2024-06-06,09:01,18:33
10028,Villegas,Lizeth,2024-06-06,08:02,17:46
10029,Ramos,Carol,2024-06-06,08:56,17:22
10030,Maceda,Emelia,2024-06-06,09:59,20:54
10031,Aguilar,Delia,2024-06-06,09:23,16:24
10032,Castro,John Rafael,2024-06-06,10:24,20:21
10033,Martinez,Carlos Ian,2024-06-06,10:55,21:16
10034,Santos,Beatriz,2024-06-06,09:49,19:09
10001,Garcia,Manuel III,2024-06-07,09:46,19:15
10002,Lim,Antonio,2024-06-07,09:41,20:01
10003,Aquino,Bianca Sofia,2024-06-07,10:22,20:15
10004,Reyes,Isabella,2024-06-07,09:28,18:11
10005,Hernandez,Eduard,2024-06-07,08:14,16:58
10006,Villanueva,Andrea Mae,2024-06-07,08:18,18:23
10007,San Jose,Brad,2024-06-07,08:12,15:12
10008,Romualdez,Alice,2024-06-07,08:19,16:22
10009,Atienza,Rosie,2024-06-07,10:09,20:58
10010,Alvaro,Roderick,2024-06-07,09:08,17:12
10011,Salcedo,Anthony,2024-06-07,08:05,18:24
10012,Lopez,Josie,2024-06-07,10:26,19:03
10013,Farala,Martha,2024-06-07,08:37,16:15
10014,Martinez,Leila,2024-06-07,08:30,17:31
10015,Romualdez,Fredrick,2024-06-07,09:56,20:26
10016,Mata,Christian,2024-06-07,09:41,16:51
10017,De Leon,Selena,2024-06-07,09:50,18:23
10018,San Jose,Allison,2024-06-07,09:19,17:38
10019,Rosario,Cydney,2024-06-07,10:04,17:34
10020,Bautista,Mark,2024-06-07,08:45,17:21
10021,Lazaro,Darlene,2024-06-07,09:52,19:04
10022,Delos Santos,Kolby,2024-06-07,09:02,16:29
10023,Santos,Vella,2024-06-07,10:13,18:01
10024,Del Rosario,Tomas,2024-06-07,09:56,16:59
10025,Tolentino,Jacklyn,2024-06-07,10:23,20:19
10026,Gutierrez,Percival,2024-06-07,08:04,17:41
10027,Manalaysay,Garfield,2024-06-07,09:36,17:22
10028,Villegas,Lizeth,2024-06-07,08:29,19:24
10029,Ramos,Carol,2024-06-07,09:56,20:35
10030,Maceda,Emelia,2024-06-07,08:33,19:10
10031,Aguilar,Delia,2024-06-07,09:18,18:25
10032,Castro,John Rafael,2024-06-07,08:52,19:40
10033,Martinez,Carlos Ian,2024-06-07,08:02,15:02
10034,Santos,Beatriz,2024-06-07,10:38,21:21
10001,Garcia,Manuel III,2024-06-10,09:10,18:36
