Username,Password,Role
admin,admin123,Admin
10001,password123,Employee
10002,password123,Employee
10003,password123,Finance
10004,password123,Employee
10005,password123,Employee
10006,password123,HR
10007,password123,HR
10008,password123,HR
10009,password123,HR
10010,password123,Finance
10011,password123,Employee
10012,password123,Employee
10013,password123,Employee
10014,password123,Employee
10015,password123,Employee
10016,password123,Employee
10017,password123,Employee
10018,password123,Employee
10019,password123,Employee
10020,password123,Employee
10021,password123,Employee
10022,password123,Employee
10023,password123,Employee
10024,password123,Employee
10025,password123,Employee
10026,password123,Employee
10027,password123,Employee
10028,password123,Employee
10029,password123,Employee
10030,password123,Employee
10031,password123,Employee
10032,password123,Employee
10033,password123,Employee
10034,password123,Employee
